Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.2489 0.2502 0.3155 SUCCES PSUCC cg.f:578
0.6355 0.6390 0.2873 FAILED PSUCC cg.f:578
0.9501 0.9554 0.6320 SUCCES PSUCC cg.f:578
0.8428 0.8504 0.1108 SUCCES PSUCC cg.f:578
0.7393 0.7435 0.0922 SUCCES PSUCC cg.f:578
0.0484 0.0487 0.9332 SUCCES PSUCC cg.f:578
0.9412 0.9500 0.4106 SUCCES PSUCC cg.f:578
0.3349 0.3357 0.8882 SUCCES PSUCC cg.f:578
0.6428 0.6482 0.7262 SUCCES PSUCC cg.f:577
0.0353 0.0356 0.2046 FAILED PSUCC cg.f:578
0.4261 0.4299 0.6813 SUCCES PSUCC cg.f:578
0.3217 0.3229 0.1617 SUCCES PSUCC cg.f:578
0.6380 0.6413 0.5076 FAILED PSUCC cg.f:578
0.5266 0.5294 0.4820 FAILED PSUCC cg.f:578
0.9219 0.9276 0.4618 SUCCES PSUCC cg.f:577
0.7320 0.7358 0.8022 SUCCES PSUCC cg.f:578
0.6224 0.6269 0.7776 FAILED PSUCC cg.f:578
0.9328 0.9406 0.6192 SUCCES PSUCC cg.f:578
0.4145 0.4167 0.2403 SUCCES PSUCC cg.f:578
0.7169 0.7209 0.0739 SUCCES PSUCC cg.f:580
0.6178 0.6208 0.5589 SUCCES PSUCC cg.f:578
0.9209 0.9249 0.8909 SUCCES PSUCC cg.f:578
0.8141 0.8186 0.8710 SUCCES PSUCC cg.f:578
0.6247 0.6270 0.2115 SUCCES PSUCC cg.f:578
0.4315 0.4349 0.0485 FAILED PSUCC cg.f:645
0.4107 0.4122 0.6689 FAILED PSUCC cg.f:578
0.7234 0.7291 0.5110 SUCCES PSUCC cg.f:578
0.6151 0.6167 0.9886 SUCCES PSUCC cg.f:577
0.5118 0.5145 0.9708 SUCCES PSUCC cg.f:578
0.3169 0.3185 0.3050 FAILED PSUCC cg.f:578
0.7139 0.7185 0.2869 SUCCES PSUCC cg.f:578
0.5237 0.5272 0.1272 SUCCES PSUCC cg.f:578
0.9149 0.9200 0.6026 SUCCES PSUCC cg.f:681
0.8079 0.8136 0.5822 FAILED PSUCC cg.f:681
0.2074 0.2091 0.5652 SUCCES PSUCC cg.f:578
0.5957 0.5983 0.0401 FAILED PSUCC cg.f:577
0.9073 0.9147 0.3809 FAILED PSUCC cg.f:578
0.2945 0.2961 0.8543 FAILED PSUCC cg.f:577
0.1947 0.1958 0.3396 FAILED PSUCC cg.f:578
0.5010 0.5038 0.6776 FAILED PSUCC cg.f:578
0.8939 0.8982 0.1557 SUCCES PSUCC cg.f:578
0.2061 0.2077 0.9979 SUCCES PSUCC cg.f:578
0.6850 0.6890 0.6152 SUCCES PSUCC cg.f:577
0.8879 0.8923 0.9331 SUCCES PSUCC cg.f:578
0.2849 0.2853 0.4156 SUCCES PSUCC cg.f:578
0.0945 0.0950 0.2552 FAILED PSUCC cg.f:578
0.4809 0.4832 0.7283 SUCCES PSUCC cg.f:578
0.2944 0.2961 0.5715 SUCCES PSUCC cg.f:578
0.1852 0.1861 0.5466 FAILED PSUCC cg.f:577
0.9920 0.9978 0.3840 SUCCES PSUCC cg.f:578
0.3869 0.3893 0.3645 SUCCES PSUCC cg.f:578
0.7839 0.7879 0.3465 SUCCES PSUCC cg.f:578
0.0909 0.0914 0.1840 SUCCES PSUCC cg.f:577
0.9819 0.9905 0.1600 SUCCES PSUCC cg.f:578
0.8800 0.8844 0.1432 SUCCES PSUCC cg.f:665
0.6855 0.6896 0.9810 SUCCES PSUCC cg.f:645
0.5809 0.5846 0.4597 SUCCES PSUCC cg.f:578
0.3886 0.3907 0.7973 SUCCES PSUCC cg.f:577
0.7821 0.7849 0.7754 SUCCES PSUCC cg.f:578
0.5923 0.5968 0.6159 SUCCES PSUCC cg.f:578
0.9845 0.9896 0.5939 SUCCES PSUCC cg.f:578
0.8814 0.8862 0.0752 FAILED PSUCC cg.f:578
0.2752 0.2768 0.0542 SUCCES PSUCC cg.f:578
0.0814 0.0818 0.8915 FAILED PSUCC cg.f:578
0.4774 0.4805 0.8729 SUCCES PSUCC cg.f:578
0.2840 0.2856 0.2096 SUCCES PSUCC cg.f:577
0.1816 0.1827 0.1925 FAILED PSUCC cg.f:577
0.0704 0.0709 0.1667 FAILED PSUCC cg.f:578
0.8802 0.8871 0.5062 SUCCES PSUCC cg.f:578
0.2717 0.2740 0.4849 SUCCES PSUCC cg.f:578
0.1680 0.1689 0.9654 SUCCES PSUCC cg.f:578
0.5583 0.5606 0.4413 SUCCES PSUCC cg.f:578
0.8754 0.8788 0.2881 SUCCES PSUCC cg.f:578
0.6817 0.6880 0.6255 FAILED PSUCC cg.f:578
0.1685 0.1696 0.2502 SUCCES PSUCC cg.f:578
0.4710 0.4738 0.0845 SUCCES PSUCC cg.f:578
0.3689 0.3708 0.0659 SUCCES PSUCC cg.f:578
0.7557 0.7601 0.5384 FAILED PSUCC cg.f:578
0.5605 0.5636 0.8732 FAILED PSUCC cg.f:578
0.9598 0.9651 0.3584 SUCCES PSUCC cg.f:578
0.3512 0.3531 0.3356 SUCCES PSUCC cg.f:578
0.6575 0.6632 0.6699 SUCCES PSUCC cg.f:578
0.0563 0.0566 0.1556 SUCCES PSUCC cg.f:578
0.3614 0.3646 0.4924 SUCCES PSUCC cg.f:578
0.8457 0.8507 0.1134 FAILED PSUCC cg.f:578
0.1501 0.1514 0.9493 SUCCES PSUCC cg.f:578
0.5482 0.5510 0.4318 SUCCES PSUCC cg.f:578
0.4398 0.4422 0.9100 SUCCES PSUCC cg.f:578
0.2556 0.2569 0.7563 SUCCES PSUCC cg.f:578
0.6392 0.6433 0.2245 FAILED PSUCC cg.f:578
0.9524 0.9598 0.0679 FAILED PSUCC cg.f:681
0.3400 0.3431 0.0421 SUCCES PSUCC cg.f:578
0.7375 0.7397 0.5241 SUCCES PSUCC cg.f:578
0.0511 0.0516 0.8662 SUCCES PSUCC cg.f:578
0.5311 0.5340 0.9866 SUCCES PSUCC cg.f:578
0.8399 0.8446 0.8265 SUCCES PSUCC cg.f:578
0.7340 0.7372 0.8051 SUCCES PSUCC cg.f:578
0.0388 0.0391 0.1399 SUCCES PSUCC cg.f:665
0.9327 0.9375 0.1198 SUCCES PSUCC cg.f:578
0.2361 0.2364 0.9534 SUCCES PSUCC cg.f:578
0.1358 0.1366 0.9379 SUCCES PSUCC cg.f:578
0.9408 0.9458 0.2729 SUCCES PSUCC cg.f:578
0.3384 0.3399 0.2560 SUCCES PSUCC cg.f:578
0.1454 0.1456 0.0932 FAILED PSUCC cg.f:578
0.0422 0.0425 0.5759 SUCCES PSUCC cg.f:681
0.3480 0.3497 0.9143 SUCCES PSUCC cg.f:578
0.7396 0.7432 0.3877 SUCCES PSUCC cg.f:577
0.6372 0.6410 0.8696 SUCCES PSUCC cg.f:578
0.9435 0.9502 0.7097 SUCCES PSUCC cg.f:578
0.8412 0.8479 0.1914 FAILED PSUCC cg.f:578
0.7263 0.7285 0.1627 FAILED PSUCC cg.f:578
0.0394 0.0397 0.5039 SUCCES PSUCC cg.f:578
0.4342 0.4366 0.4855 SUCCES PSUCC cg.f:578
0.8263 0.8311 0.9613 SUCCES PSUCC cg.f:578
0.7219 0.7256 0.4424 SUCCES PSUCC cg.f:578
0.0315 0.0317 0.7832 SUCCES PSUCC cg.f:577
0.9259 0.9268 0.2623 FAILED PSUCC cg.f:578
0.2311 0.2322 0.5979 SUCCES PSUCC cg.f:578
0.1301 0.1302 0.0814 SUCCES PSUCC cg.f:578
0.4341 0.4363 0.9153 SUCCES PSUCC cg.f:578
0.2407 0.2418 0.7522 SUCCES PSUCC cg.f:681
0.1403 0.1411 0.2375 FAILED PSUCC cg.f:578
0.4447 0.4462 0.0750 SUCCES PSUCC cg.f:578
0.7532 0.7565 0.4124 FAILED PSUCC cg.f:578
0.1471 0.1484 0.3894 SUCCES PSUCC cg.f:578
0.0439 0.0442 0.8729 SUCCES PSUCC cg.f:645
0.4358 0.4381 0.8491 SUCCES PSUCC cg.f:578
0.2459 0.2478 0.6887 SUCCES PSUCC cg.f:577
0.6362 0.6419 0.1646 SUCCES PSUCC cg.f:578
0.5373 0.5399 0.1506 SUCCES PSUCC cg.f:577
0.9266 0.9303 0.1257 FAILED PSUCC cg.f:578
0.7319 0.7372 0.9615 SUCCES PSUCC cg.f:578
0.1299 0.1310 0.4432 FAILED PSUCC cg.f:578
0.5252 0.5281 0.9253 SUCCES PSUCC cg.f:578
0.9158 0.9189 0.3996 SUCCES PSUCC cg.f:578
0.7237 0.7293 0.7388 SUCCES PSUCC cg.f:578
0.6202 0.6228 0.7210 SUCCES PSUCC cg.f:578
0.4240 0.4272 0.5552 SUCCES PSUCC cg.f:578
0.8231 0.8288 0.5380 FAILED PSUCC cg.f:577
0.2165 0.2183 0.5171 SUCCES PSUCC cg.f:578
0.6127 0.6154 0.4980 SUCCES PSUCC cg.f:578
0.0054 0.0055 0.4770 SUCCES PSUCC cg.f:577
0.3107 0.3122 0.3108 SUCCES PSUCC cg.f:578
0.7061 0.7095 0.2930 SUCCES PSUCC cg.f:578
0.6026 0.6054 0.7743 SUCCES PSUCC cg.f:578
0.9113 0.9170 0.6119 FAILED PSUCC cg.f:578
0.3022 0.3037 0.0889 SUCCES PSUCC cg.f:580
0.1109 0.1115 0.9280 FAILED PSUCC cg.f:578
0.0052 0.0053 0.4087 SUCCES PSUCC cg.f:577
0.3116 0.3141 0.7448 SUCCES PSUCC cg.f:578
0.7077 0.7135 0.7259 SUCCES PSUCC cg.f:578
0.6036 0.6072 0.7067 SUCCES PSUCC cg.f:578
0.4987 0.5013 0.6862 FAILED PSUCC cg.f:578
0.8905 0.8939 0.6637 SUCCES PSUCC cg.f:577
0.6978 0.7001 0.5007 FAILED PSUCC cg.f:578
0.0039 0.0040 0.3368 SUCCES PSUCC cg.f:577
0.9012 0.9091 0.3209 SUCCES PSUCC cg.f:578
0.3816 0.3834 0.9415 SUCCES PSUCC cg.f:578
0.1881 0.1892 0.2789 SUCCES PSUCC cg.f:578
0.5863 0.5890 0.2598 SUCCES PSUCC cg.f:578
0.3922 0.3947 0.5970 FAILED PSUCC cg.f:578
0.7894 0.7901 0.5788 SUCCES PSUCC cg.f:578
0.0983 0.0988 0.9180 SUCCES PSUCC cg.f:578
0.4888 0.4911 0.3941 FAILED PSUCC cg.f:644
0.8009 0.8039 0.2369 SUCCES PSUCC cg.f:578
0.1039 0.1044 0.0705 SUCCES PSUCC cg.f:578
0.4990 0.5015 0.5496 FAILED PSUCC cg.f:577
0.8046 0.8084 0.3874 SUCCES PSUCC cg.f:578
0.2028 0.2043 0.8707 FAILED PSUCC cg.f:578
0.5910 0.5958 0.8425 SUCCES PSUCC cg.f:578
0.9870 0.9886 0.3236 SUCCES PSUCC cg.f:578
0.7965 0.8018 0.1634 SUCCES PSUCC cg.f:578
0.1949 0.1965 0.6485 FAILED PSUCC cg.f:578
0.0876 0.0884 0.1245 SUCCES PSUCC cg.f:577
0.9846 0.9856 0.6065 SUCCES PSUCC cg.f:578
