Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.9271 0.8362 0.2391 SUCCES PFAIL mg.f:679
0.7418 0.6675 0.8423 SUCCES PFAIL mg.f:665
0.2190 0.1985 0.2194 SUCCES PFAIL mg.f:665
0.2006 0.1810 0.0981 SUCCES PFAIL mg.f:597
0.5100 0.4619 0.6942 SUCCES PFAIL mg.f:667
0.4881 0.4379 0.0706 SUCCES PFAIL mg.f:1059
0.7043 0.6362 0.5203 SUCCES PFAIL mg.f:665
0.9279 0.8328 0.4771 SUCCES PFAIL mg.f:604
0.6461 0.5859 0.4307 SUCCES PFAIL mg.f:604
0.9528 0.8616 0.5230 SUCCES PFAIL mg.f:679
0.4373 0.3955 0.4065 SUCCES PFAIL mg.f:667
0.9983 0.9009 0.4213 SUCCES PFAIL mg.f:667
0.7226 0.6525 0.8771 SUCCES PFAIL mg.f:595
0.0290 0.0264 0.4747 SUCCES PFAIL mg.f:840
0.7457 0.6733 0.9236 SUCCES PFAIL mg.f:757
0.5532 0.4991 0.0195 SUCCES PFAIL mg.f:667
0.2720 0.2440 0.9734 SUCCES PFAIL mg.f:604
0.5807 0.5258 0.5693 SUCCES PFAIL mg.f:679
0.0593 0.0537 0.4465 SUCCES PFAIL mg.f:604
0.8700 0.7861 0.0438 SUCCES PFAIL mg.f:595
0.0892 0.0807 0.4961 SUCCES PFAIL mg.f:755
0.3963 0.3561 0.5931 SUCCES PFAIL mg.f:665
0.6121 0.5498 0.5437 SUCCES PFAIL mg.f:856
0.3317 0.2978 0.9971 SUCCES PFAIL mg.f:667
0.0588 0.0533 0.4555 SUCCES PFAIL mg.f:604
0.2773 0.2491 0.4079 SUCCES PFAIL mg.f:595
0.9965 0.8997 0.3612 SUCCES PFAIL mg.f:679
0.2968 0.2685 0.9505 SUCCES PFAIL mg.f:667
0.7865 0.7103 0.3386 SUCCES PFAIL mg.f:597
0.5029 0.4541 0.7895 SUCCES PFAIL mg.f:597
0.7242 0.6536 0.7430 SUCCES PFAIL mg.f:604
0.5328 0.4813 0.8396 SUCCES PFAIL mg.f:663
0.2482 0.2237 0.7905 SUCCES PFAIL mg.f:665
0.0549 0.0494 0.8846 SUCCES PFAIL mg.f:597
0.2795 0.2524 0.8427 SUCCES PFAIL mg.f:597
0.4948 0.4472 0.2927 SUCCES PFAIL mg.f:597
0.3052 0.2755 0.8902 SUCCES PFAIL mg.f:770
0.5238 0.4741 0.3436 SUCCES PFAIL mg.f:679
0.5876 0.5317 0.8602 SUCCES PFAIL mg.f:679
0.0744 0.0675 0.2424 SUCCES PFAIL mg.f:665
0.0532 0.0482 0.6200 SUCCES PFAIL mg.f:595
0.2727 0.2463 0.5739 SUCCES PFAIL mg.f:595
