Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.5990 0.5630 0.2528 succes PSUCC fft3d.f:57
0.4962 0.4698 0.7498 succes PSUCC fft3d.f:49
0.8022 0.7911 0.1032 succes PSUCC fft3d.f:46
0.8681 0.8199 0.8773 succes PSUCC fft3d.f:126
0.6724 0.6379 0.2298 succes PSUCC fft3d.f:49
0.0673 0.0636 0.7248 succes PSUCC ()
0.9564 0.8957 0.2162 succes PSUCC fft3d.f:2
0.2666 0.2530 0.5724 succes PSUCC fft3d.f:49
0.6601 0.6220 0.0680 succes PSUCC fft3d.f:126
0.9665 0.9046 0.4206 succes PSUCC ()
0.7714 0.7286 0.2703 succes PSUCC fft3d.f:49
0.6664 0.6308 0.2672 succes PSUCC fft3d.f:82
0.9736 0.9172 0.6214 succes PSUCC fft3d.f:120
0.3670 0.3474 0.1148 succes PSUCC fft3d.f:79
0.6664 0.6310 0.4608 succes PSUCC fft3d.f:49
0.0643 0.0612 0.9596 succes PSUCC ()
0.9608 0.9626 0.4575 succes PSUCC fft3d.f:49
0.0225 0.0215 0.2307 succes PSUCC fft3d.f:120
0.9121 0.9078 0.7207 succes PSUCC fft3d.f:120
0.0706 0.0669 0.6438 succes PSUCC fft3d.f:82
0.3777 0.3582 0.4987 succes PSUCC ()
0.7691 0.7221 0.4912 succes PSUCC fft3d.f:126
0.0751 0.0715 0.3424 succes PSUCC fft3d.f:48
0.9721 0.9092 0.3398 succes PSUCC fft3d.f:49
0.2736 0.2594 0.1881 failed PSUCC fft3d.f:2
0.1708 0.1590 0.1862 succes PSUCC fft3d.f:82
0.8868 0.8843 0.8961 succes PSUCC fft3d.f:2
0.0427 0.0398 0.8168 succes PSUCC fft3d.f:81
0.8505 0.8468 0.6691 succes PSUCC fft3d.f:2
0.4148 0.3932 0.9451 succes PSUCC fft3d.f:79
0.3077 0.2897 0.4392 succes PSUCC fft3d.f:82
0.6131 0.5774 0.7905 succes PSUCC fft3d.f:48
0.5044 0.4747 0.7832 succes PSUCC fft3d.f:2
0.8130 0.7623 0.1378 succes PSUCC fft3d.f:82
0.1194 0.1131 0.9907 succes PSUCC fft3d.f:49
0.5102 0.4822 0.4844 succes PSUCC fft3d.f:82
0.8185 0.7734 0.8360 succes PSUCC fft3d.f:2
0.2046 0.1946 0.8246 succes PSUCC fft3d.f:46
0.6060 0.6086 0.8270 succes PSUCC fft3d.f:81
0.1669 0.1576 0.5997 succes PSUCC fft3d.f:2
0.0646 0.0615 0.5979 succes PSUCC fft3d.f:49
0.9555 0.8967 0.5887 succes PSUCC fft3d.f:81
0.7629 0.7198 0.9432 succes PSUCC fft3d.f:2
0.5679 0.5376 0.7955 succes PSUCC fft3d.f:79
0.9584 0.9522 0.2860 succes PSUCC ()
0.0288 0.0273 0.5674 succes PSUCC fft3d.f:2
0.9188 0.9145 0.0576 succes PSUCC fft3d.f:2
0.4917 0.4654 0.8418 succes PSUCC fft3d.f:48
0.3807 0.3598 0.3330 succes PSUCC fft3d.f:120
0.1876 0.1773 0.6852 succes PSUCC fft3d.f:2
0.9926 0.9394 0.0380 succes PSUCC fft3d.f:81
0.3869 0.3660 0.0327 succes PSUCC fft3d.f:126
0.2778 0.2628 0.5248 succes PSUCC fft3d.f:82
0.5848 0.5470 0.3772 succes PSUCC fft3d.f:166
0.3931 0.3677 0.7304 succes PSUCC fft3d.f:2
0.6947 0.6569 0.0792 succes PSUCC fft3d.f:48
0.0020 0.0020 0.4343 succes PSUCC ()
0.3976 0.3745 0.9305 succes PSUCC fft3d.f:46
0.7016 0.6611 0.2824 succes PSUCC fft3d.f:81
0.0972 0.0915 0.2773 succes PSUCC fft3d.f:82
0.4010 0.3991 0.6290 succes PSUCC fft3d.f:2
0.0546 0.0518 0.0465 succes PSUCC fft3d.f:82
0.3639 0.3566 0.9026 succes PSUCC fft3d.f:2
0.9260 0.8683 0.6754 succes PSUCC fft3d.f:2
0.2361 0.2235 0.0322 succes PSUCC fft3d.f:126
0.1261 0.1199 0.0226 succes PSUCC fft3d.f:49
0.9343 0.8752 0.3761 failed PSUCC fft3d.f:2
0.2432 0.2305 0.2321 succes PSUCC fft3d.f:49
0.6339 0.5986 0.2242 succes PSUCC fft3d.f:160
0.9386 0.8882 0.5750 succes PSUCC fft3d.f:82
0.8318 0.7869 0.0687 succes PSUCC fft3d.f:49
0.7269 0.6859 0.5657 succes PSUCC fft3d.f:82
0.0311 0.0295 0.4153 succes PSUCC fft3d.f:48
0.3389 0.3204 0.2707 succes PSUCC fft3d.f:82
0.2273 0.2158 0.2613 succes PSUCC fft3d.f:82
0.1257 0.1188 0.7613 succes PSUCC fft3d.f:126
0.9318 0.9300 0.1116 succes PSUCC fft3d.f:2
0.5778 0.5452 0.5241 succes PSUCC fft3d.f:81
0.8895 0.8401 0.3811 succes PSUCC fft3d.f:81
0.6979 0.6594 0.2364 succes PSUCC fft3d.f:2
0.0907 0.0901 0.7306 succes PSUCC fft3d.f:49
0.6546 0.6213 0.0056 succes PSUCC fft3d.f:81
0.0510 0.0482 0.5011 succes PSUCC fft3d.f:82
0.8489 0.7967 0.8471 succes PSUCC fft3d.f:82
0.7474 0.7042 0.3464 succes PSUCC ()
0.0515 0.0492 0.6979 succes PSUCC fft3d.f:49
0.9453 0.9324 0.1915 succes PSUCC fft3d.f:48
0.4246 0.4011 0.8280 succes PSUCC fft3d.f:159
0.8193 0.7738 0.3230 succes PSUCC fft3d.f:82
0.1236 0.1161 0.1735 succes PSUCC fft3d.f:49
0.5200 0.5171 0.1725 failed PSUCC fft3d.f:2
0.5882 0.5554 0.9492 succes PSUCC ()
0.8939 0.8445 0.3021 succes PSUCC fft3d.f:82
0.2842 0.2683 0.7927 succes PSUCC fft3d.f:81
0.0944 0.0942 0.1500 succes PSUCC fft3d.f:48
0.7463 0.7000 0.5668 succes PSUCC fft3d.f:82
0.0514 0.0487 0.9176 succes PSUCC fft3d.f:81
0.8566 0.8085 0.7699 succes PSUCC fft3d.f:45
0.6604 0.6243 0.1204 succes PSUCC fft3d.f:119
0.0541 0.0515 0.1149 succes PSUCC fft3d.f:49
0.9483 0.9435 0.6111 succes PSUCC fft3d.f:160
0.0171 0.0162 0.8904 succes PSUCC fft3d.f:48
0.8255 0.8123 0.2433 succes PSUCC fft3d.f:120
0.3851 0.3641 0.0161 succes PSUCC fft3d.f:2
